SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23; Total geral ;X;Y
10051;503;1;1;AMERICO VESPUCIO, AVE;1278;;;;;;9;3;8;2;;1;1;1;2;1;2;5;2;;2;;;;;40;608787.8;7799737.17
10051;503;2;1;AMERICO VESPUCIO, AVE;1278;;;;;;;;;;;;;;;;;;;;;;1;;;1;608787.8;7799737.17
10052;503;1;1;AMERICO VESPUCIO, AVE;2000;;;;;;1;;;1;;;;;;;;;;;;;;;;2;608666.03;7799284.62
10052;9404;1;2;AMERICO VESPUCIO, AVE;2000;;;;;;;1;2;1;1;;1;2;1;;;;;;;;;;;10;608666.03;7799284.62
10053;4032;1;1;AMERICO VESPUCIO, AVE;2884;;;;;;;;;;;1;;;;1;;;2;;;;;;;4;608441.64;7799153.08
10053;503;1;1;AMERICO VESPUCIO, AVE;2884;;;;;;4;3;1;;2;1;3;;;;;4;3;2;2;1;;;;27;608441.64;7799153.08
10053;503;2;1;AMERICO VESPUCIO, AVE;2884;;;;;;;;;;;;;;;;;;;;;;;2;;2;608441.64;7799153.08
10054;608;1;1;ANDRADA E SILVA, RUA;132;;;;;;;;;;;;;;;;1;;1;;;;;;;2;605423.88;7806972.5
10054;608;4;1;ANDRADA E SILVA, RUA;132;;;;;;;;;;;;;;;1;;;;;;;;;;1;605423.88;7806972.5
10055;608;1;1;ANDRADA E SILVA, RUA;268;;;;;1;3;2;6;3;3;;;;1;1;1;;2;;;;;;;23;605431.72;7806965.98
10055;608;4;1;ANDRADA E SILVA, RUA;268;;;;;;;2;;;;;2;;;;;;;;;;;;;3;605431.72;7806965.98
10055;608;5;1;ANDRADA E SILVA, RUA;268;;;;;;1;;;;;;;;;;;;;;;;;;;1;605431.72;7806965.98
10055;608;6;1;ANDRADA E SILVA, RUA;268;;;;;;3;;;;;;;;;;;;;;;;;;;3;605431.72;7806965.98
10057;506;1;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;;1;2;;;;;;;;;;;;;;;;;3;608863.56;7803739.05
10057;506;2;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;3;1;1;1;;;2;;1;;;;;;;;;;;9;608863.56;7803739.05
10057;506;3;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;;;;;;;;;;;;;1;;;;;;;1;608863.56;7803739.05
10057;506;4;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;;;;;;;;;;;;;11;1;;;;4;;16;608863.56;7803739.05
10057;67;1;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;;;;;;1;;;;;;;;;;1;;;;3;608863.56;7803739.05
10057;67;5;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;;;;;;;;;;;;;1;;;;;;;1;608863.56;7803739.05
10058;503;1;1;ANTONIO ABRAHAO CARAM, AVE;41;;;;;;9;22;12;1;2;;;;3;;1;4;4;4;4;;;;;66;608909.9;7803614.33
10058;503;2;1;ANTONIO ABRAHAO CARAM, AVE;41;;;;;;;;;;;;;;;;;;;;;1;1;;1;3;608909.9;7803614.33
10058;5106;1;1;ANTONIO ABRAHAO CARAM, AVE;41;;;;;;3;;6;7;;;3;2;4;1;3;1;;1;;;1;;;33;608909.9;7803614.33
10059;504;1;1;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;;;;;;;;;;;2;1;4;;;2;;;;9;608535.23;7803624.46
10059;506;4;1;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;;;;;;;;;;;;;1;;;;1;;;2;608535.23;7803624.46
10059;5106;1;2;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;;;1;;;;2;1;;;1;;;;;;;;;5;608535.23;7803624.46
10059;64;1;1;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;;;;;;;;;;;;;1;;1;;;;;2;608535.23;7803624.46
10059;64;3;1;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;;;;;;;;;;;;1;;;;;;;;1;608535.23;7803624.46
10059;67;5;1;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;;1;;;;;;;;;;;1;;;;;;;2;608535.23;7803624.46
10060;504;1;1;ANTONIO ABRAHAO CARAM, AVE;384;;;;;;;;;;;;;;;;;3;;;;;;;;3;608386.61;7803572.74
10060;5106;1;2;ANTONIO ABRAHAO CARAM, AVE;384;;;;;;;1;;;2;;;;1;1;;;1;;;;;;;6;608386.61;7803572.74
10060;64;1;1;ANTONIO ABRAHAO CARAM, AVE;384;;;;;;;;;;;;1;;;;;;2;;;;;;;3;608386.61;7803572.74
10060;64;3;1;ANTONIO ABRAHAO CARAM, AVE;384;;;;;;;1;;;;;;;;;;;;;;;;;;1;608386.61;7803572.74
10060;67;1;1;ANTONIO ABRAHAO CARAM, AVE;384;;;;;;;;;;1;;;;1;;;3;;;;;;;;5;608386.61;7803572.74
10060;67;5;1;ANTONIO ABRAHAO CARAM, AVE;384;;;;;;;;;;;;;;;;1;;1;;;;;;;2;608386.61;7803572.74
10061;503;1;1;ANTONIO ABRAHAO CARAM, AVE;385;;;;;;;;;;;;;2;;;;1;3;;;;;;;6;608421.04;7803552.24
10061;5106;1;1;ANTONIO ABRAHAO CARAM, AVE;385;;;;;2;11;30;7;9;6;6;11;1;;;7;6;8;;1;;1;;;106;608421.04;7803552.24
10061;64;1;1;ANTONIO ABRAHAO CARAM, AVE;385;;;;;;;1;;;;;4;;;1;6;6;2;1;3;1;2;;;27;608421.04;7803552.24
10061;64;3;1;ANTONIO ABRAHAO CARAM, AVE;385;;;;;;;;;;;3;6;1;4;1;;;3;;;;;;;19;608421.04;7803552.24
10061;67;1;1;ANTONIO ABRAHAO CARAM, AVE;385;;;;;1;;;;;;1;1;;;1;;2;2;;1;;;;;10;608421.04;7803552.24
10061;67;5;1;ANTONIO ABRAHAO CARAM, AVE;385;;;;;;;;;;;;;;;;;1;1;;;;;;;3;608421.04;7803552.24
