SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23; Total geral ;X;Y
10053;503;2;1;AMERICO VESPUCIO, AVE;2884;;;;;;;;;;;;;;;;;;;;;;2;;;2;608441.64;7799153.08
10053;4032;1;1;AMERICO VESPUCIO, AVE;2884;;;;;;;;1;;;1;1;1;;;;;;;;;;;;5;608441.64;7799153.08
10054;608;1;1;ANDRADA E SILVA, RUA;132;;;;;1;;;;;;;;;;;;;2;;;;;;;3;605423.88;7806972.5
10054;608;4;1;ANDRADA E SILVA, RUA;132;;;;;;;1;;;;;;;;;;;;;;;;;;1;605423.88;7806972.5
10055;608;1;1;ANDRADA E SILVA, RUA;268;;;;;1;;2;1;;;1;;;;9;3;;4;2;;;;;;23;605431.72;7806965.98
10055;608;4;1;ANDRADA E SILVA, RUA;268;;;;;;;2;;;;;;;;;;;;;;;;;;2;605431.72;7806965.98
10055;608;5;1;ANDRADA E SILVA, RUA;268;;;;;;3;;;;;;1;;;;;;;;;;;;;4;605431.72;7806965.98
10055;608;6;1;ANDRADA E SILVA, RUA;268;;;;;;10;3;;;;;;;;;;;;;;;;;;13;605431.72;7806965.98
10057;64;1;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;;;;;1;;;;;;;;;;;;1;;;2;608863.56;7803739.05
10057;64;3;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;;;;;;;;;1;;;;;1;;;;;;2;608863.56;7803739.05
10057;67;1;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;;;;;;2;;;;;;;;;;;;;;2;608863.56;7803739.05
10057;67;5;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;;;;;;;;;;;;;1;;;;;;;1;608863.56;7803739.05
10057;506;1;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;;;;;;;6;;;;;;;;;;;;;6;608863.56;7803739.05
10057;506;2;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;2;9;;;;;;;;;6;;;;;;;;;16;608863.56;7803739.05
10057;506;3;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;;;;;;;;;;;;;1;2;;;;;;4;608863.56;7803739.05
10057;506;4;1;ANTONIO ABRAHAO CARAM, AVE;30;;;;;;;;;;;;;;;;;;3;3;;;;;;6;608863.56;7803739.05
10058;503;1;1;ANTONIO ABRAHAO CARAM, AVE;41;;;;;;3;28;6;1;2;2;4;1;4;2;4;1;11;2;;;;;;70;608909.9;7803614.33
10058;503;2;1;ANTONIO ABRAHAO CARAM, AVE;41;;;;;;;;;;;;;;;;;;;;;;;2;;2;608909.9;7803614.33
10058;5106;1;1;ANTONIO ABRAHAO CARAM, AVE;41;;;;;;;1;1;;;;6;1;1;1;2;1;10;5;;;;;;31;608909.9;7803614.33
10058;5106;2;1;ANTONIO ABRAHAO CARAM, AVE;41;5;;;;;;;;;;;;;;;;;;;;;;;;5;608909.9;7803614.33
10059;64;1;1;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;;;;;;;;;3;;;;3;;;;1;;;7;608535.23;7803624.46
10059;64;3;1;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;;1;;;;5;;;;;;1;1;;;;;;;8;608535.23;7803624.46
10059;67;1;1;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;;;;;2;;;;;;1;1;1;;;;;;;6;608535.23;7803624.46
10059;504;1;1;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;;2;1;;;;;;;;2;;1;;;;;;;6;608535.23;7803624.46
10059;506;2;1;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;;;;;;;;2;;;;6;;;;;;;;7;608535.23;7803624.46
10059;506;3;1;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;;;;;;;;;;;;;;;;;;4;;4;608535.23;7803624.46
10059;5106;1;2;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;;;;;;;2;;;;1;;;4;;;;;;7;608535.23;7803624.46
10059;5401;1;2;ANTONIO ABRAHAO CARAM, AVE;264;;;;;;1;;;;;;1;;;;;;;;;;;;;2;608535.23;7803624.46
10060;64;1;1;ANTONIO ABRAHAO CARAM, AVE;384;;;;;;;;;;;4;1;;;;;;;1;;;;;;7;608386.61;7803572.74
10060;64;3;1;ANTONIO ABRAHAO CARAM, AVE;384;;;;;;;1;;;;;;;;;;;1;;;;;;;2;608386.61;7803572.74
10060;67;1;1;ANTONIO ABRAHAO CARAM, AVE;384;;;;;;;;;;;;1;;;;;1;;;;;;;4;6;608386.61;7803572.74
10060;504;1;1;ANTONIO ABRAHAO CARAM, AVE;384;;;;;;;;;;;;;2;2;;;3;;;;;;;;6;608386.61;7803572.74
10060;5106;1;2;ANTONIO ABRAHAO CARAM, AVE;384;;;;;;;;;5;;;;1;;;;;4;;;;;;;10;608386.61;7803572.74
10061;64;1;1;ANTONIO ABRAHAO CARAM, AVE;385;;;;;;;1;2;2;;;2;3;1;1;4;3;3;3;3;;5;1;;35;608421.04;7803552.24
10061;64;3;1;ANTONIO ABRAHAO CARAM, AVE;385;;;;;;;1;;;;;1;;;1;;1;3;1;;;;;;9;608421.04;7803552.24
10061;67;1;1;ANTONIO ABRAHAO CARAM, AVE;385;;;;;;1;;1;3;;3;;;;3;;3;4;;;;2;;;20;608421.04;7803552.24
10061;67;5;1;ANTONIO ABRAHAO CARAM, AVE;385;;;;;;;1;;;;;;;;;1;1;;;;;;;;3;608421.04;7803552.24
10061;503;1;1;ANTONIO ABRAHAO CARAM, AVE;385;;;;;;;;;;;2;;;;;;;;;;;;;;2;608421.04;7803552.24
10061;503;2;1;ANTONIO ABRAHAO CARAM, AVE;385;;;;;;;;;;;;;;;;;;;;;;;;2;2;608421.04;7803552.24
10061;5106;1;1;ANTONIO ABRAHAO CARAM, AVE;385;;;;;;8;11;8;9;5;9;11;4;4;1;1;3;;3;2;1;;;1;80;608421.04;7803552.24
10062;64;1;1;ANTONIO ABRAHAO CARAM, AVE;590;;;;;;;;1;;1;;;1;;2;7;;1;;;;8;;;22;608186.8;7803502.83
10062;64;3;1;ANTONIO ABRAHAO CARAM, AVE;590;;;;;;;1;;1;;;;3;;;;4;1;;;;;;;11;608186.8;7803502.83
10062;67;1;1;ANTONIO ABRAHAO CARAM, AVE;590;;;;;;;;;;;;;;;;;9;5;;;;;;;14;608186.8;7803502.83
10062;67;5;1;ANTONIO ABRAHAO CARAM, AVE;590;;;;;;;;;;;;;;;;1;;1;;;;;;;2;608186.8;7803502.83
10062;504;1;1;ANTONIO ABRAHAO CARAM, AVE;590;;;;;;;4;;;;;4;;;;8;8;12;4;;;;;;40;608186.8;7803502.83
10062;506;1;1;ANTONIO ABRAHAO CARAM, AVE;590;;;;;;;;;;;;;;;;;1;;;;;;;;1;608186.8;7803502.83
10062;506;3;1;ANTONIO ABRAHAO CARAM, AVE;590;;;;;;;;;;;;;;;;;;1;;;;;;;1;608186.8;7803502.83
10062;506;4;1;ANTONIO ABRAHAO CARAM, AVE;590;;;;;;;;;;;;;;;;;;1;1;;;;;;2;608186.8;7803502.83
10062;5106;1;2;ANTONIO ABRAHAO CARAM, AVE;590;;;;;;;2;;2;;;2;;4;;3;;6;;2;;;;;18;608186.8;7803502.83
10063;64;1;1;ANTONIO ABRAHAO CARAM, AVE;763;;;;;2;;1;;;;;1;;;;12;;1;;2;2;;2;;24;608045.07;7803421.35
