EV; HR; LT; LG; NV; VL; NL; DG; SV; DT
105;20220708101450;-19,953307;-43,970018;30697;0;109;0;0;2343
105;20220708101419;-19,994592;-44,023634;30558;0;207;0;1;31656
105;20220708101443;-19,905086;-43,896109;30978;8;660;262;1;3782
105;20220708101437;-19,923329;-43,968372;20948;0;653;0;1;8510
105;20220708101449;-19,928754;-43,932420;40674;0;870;350;1;6253
105;20220708101452;-19,916151;-43,904905;40714;17;1041;317;1;4625
105;20220708101417;-19,864227;-43,930611;20558;0;5477;0;1;23259
105;20220708101220;-19,939487;-43,989143;30907;29;100;241;2;19008
105;20220708101423;-19,800596;-43,978308;11132;0;521;0;0;1747
105;20220708101417;-19,945147;-43,989358;30637;0;4023;0;0;9761
105;20220708101452;-19,885723;-43,979499;11026;0;348;251
105;20220708101419;-19,851771;-43,927098;20922;0;3636;0;0;0
105;20220708101446;-19,908078;-43,961916;40680;19;4055;252;1;21172
105;20220708101449;-19,870703;-44,010402;40467;0;326;0;0;7523
105;20220708101446;-19,924604;-43,922309;30508;0;660;0;2;18088
105;20220708101454;-19,936741;-43,981499;10773;13;5620;212;1;14428
105;20220708101445;-19,924810;-43,937634;10764;26;5564;279;1;15129
105;20220708101450;-19,915387;-43,934206;20422;18;639;195;1;8559
105;20220708101451;-19,859673;-43,897966;20371;32;763;192;1;3804
105;20220708101420;-19,963720;-43,964120;40536;0;648;0;0;5094
105;20220708101451;-19,963625;-43,963807;10845;0;597;102;0;2030
105;20220708101451;-19,939952;-43,943283;11144;7;337;104;1;10216
105;20220708101444;-19,917036;-43,882215;20706;24;695;47;2;21003
105;20220708101453;-19,822906;-43,946873;10975;0;1921;0;1;11872
105;20220708101449;-19,992552;-44,040360;30771;1;207;328;0;2977
105;20220708101449;-19,919576;-43,939656;40742;0;749;0;1;8474
105;20220708101441;-19,874359;-43,908949;20341;0;8118;0;0;6422
105;20220708101419;-19,851616;-43,927442;20512;0;6559;0;0;3841
105;20220708101446;-19,927575;-44,014409;30661;18;3357;315;2;24134
105;20220708101449;-19,990766;-44,031174;30713;0;266;225;1;1317
105;20220708101449;-19,827227;-43,958739;10775;6;541;228;1;3566
105;20220708101455;-19,906419;-43,972460;30619;21;351;88;2;17009
105;20220708101421;-19,874016;-43,908959;10356;0;610;0;0;8830
105;20220708101444;-19,992638;-44,020333;30933;0;207;0;1;538
105;20220708101450;-19,918399;-43,930000;20714;0;617;0;1;2773
105;20220708101451;-19,922335;-43,943629;30912;9;97;22;1;5855
105;20220708101450;-19,923145;-43,943601;20586;0;952;0;2;11697
105;20220708101450;-19,919907;-43,938047;10848;41;7140;333;1;17508
105;20220708101449;-19,908396;-43,928323;40520;0;502;63;1;15494
105;20220708101451;-19,874649;-43,908912;20867;0;727;0;0;8366
105;20220708101451;-19,915628;-43,967915;40862;26;1041;255;1;13502
105;20220708101453;-19,851769;-43,927101;20925;0;3636;0;0;0
