NumeroLinha;Linha;Nome
6213;2104-08;ATENDIMENTO CARNAVAL
6357;2104-09;VIA IZABELLA  CARNAVAL
105;2150-01;GRAJAU/SION VIA CONTORNO
6359;2150-02;ATENDIMENTO CARNAVAL
107;2151-01;VISTA ALEGRE/SERRA
6272;2151-02;ATENDIMENTO CARNAVAL
109;2152-01;SALGADO FILHO/CRUZEIRO
6362;2152-02;ATENDIMENTO CARNAVAL
7659;2153-01;GUTIERREZ/CRUZEIRO
111;2207-01;SERRA VERDE
112;2207-03;SERRA VERDE
113;2207-04;SERRA VERDE
790;2207-05;SERRA VERDE
3094;2207-06;ATENDIMENTO CIDADE AMINISTRATIVA - PM
3095;2207-07;ATENDIMENTO CIADADE ADMINISTRATIVA - PT
4217;2207-08;AV PARANÁ / SERRA VERDE
4295;2207-09;SERRA VERDE / AV SANTOS DUMONT
115;2207Z-01;SERRA VERDE/ZOOLOGICO
117;2208B-01;JARDIM EUROPA
118;2208B-02;JARDIM EUROPA
119;2208B-04;JARDIM EUROPA
791;2208B-05;JARDIM EUROPA
792;2208B-06;JARDIM EUROPA
1902;2208B-07;JARDIM EUROPA - VIA AV ANTÔNIO CARLOS
1903;2208B-08;JARDIM EUROPA VIA AV CRISTIANO MACHADO
2854;2208B-09;JARDIM EUROPA / CENTRO
2855;2208B-10;JARDIM EUROPA / PARTIDAS AV SANTOS DUMONT
121;2210A-01;RIO BRANCO
122;2210A-02;RIO BRANCO
124;2210B-01;JARDIM LEBLON VIA RIO BRANCO
125;2210B-02;JARDIM LEBLON VIA RIO BRANCO
126;2210B-03;JARDIM LEBLON VIA RIO BRANCO
2175;2210B-04;JARDIM LEBLON VIA RIO BRANCO / RETORNO EXPRESSO
128;2210C-01;PIRATININGA VIA RIO BRANCO
129;2210C-02;PIRATININGA VIA RIO BRANCO
130;2210C-03;PIRATININGA VIA RIO BRANCO
2416;2210C-04;PIRATININGA VIA RIO BRANCO
2778;2210C-05;PIRATININGA - CENTRO
2795;2210C-06;PIRATININGA  - PARTIDAS  AV SANTOS DUMONT
132;2211A-01;CAMPO ALEGRE
133;2211A-02;CAMPO ALEGRE
134;2211A-03;CAMPO ALEGRE
1303;2211A-04;CAMPO ALEGRE
1305;2211A-05;CAMPO ALEGRE
136;2211B-01;PLANALTO
137;2211B-03;PLANALTO - DESVIO FEIRA AV AFONSO PENA
139;2212A-01;JARDIM ATLANTICO
140;2212A-02;JARDIM ATLANTICO RETORNO AV SANTOS DUMONT
1317;2212A-03;JARDIM ATLANTICO
2176;2212A-04;JARDIM ATLANTICO / CENTRO
2177;2212A-05;JARDIM ATLANTICO / PARTIDAS RUA DOS CAETÉS
2779;2212A-06;JARDIM ATLANTICO - PART. AV SINFONIA
142;2212B-01;JARDIM LEBLON
143;2212B-02;JARDIM LEBLON / HOSPITAIS
1050;2212B-03;JARDIM LEBLON
2178;2212B-04;JARDIM LEBLOM /  CENTRO
2179;2212B-05;JARDIM LEBLOM /  PARTIDAS RUA DOS CAETÉS
145;2212C-01;COPACABANA VIA MONTE CARMELO
1462;2212C-02;COPACABANA / CENTRO
1463;2212C-03;COPACABANA VIA M. CARMELO - PART.RUA DOS CAETÉS
2975;2212C-04;COPACABANA VIA MONTE CARMELO PARTIDA R. EXPEDICION
2976;2212C-05;COPACABANA VIA MONTE CARMELO PARTIDAS R. UNIVERSO
147;2213-01;XANGRILA VIA GARCAS
149;2214-01;FLORAMAR
150;2214-02;FLORAMAR
1306;2214-03;FLORAMAR
2234;2214-04;FLORAMAR-AT. AV DR. CRIST. GUIMARÃES RET. EXPRESSO
2235;2214-05;FLORAMAR - RETORNO EXPRESSO
2236;2214-06;FLORAMAR -  CENTRO VIA AV CRIST. GUIMARÃES
2237;2214-07;FLORAMAR -  CENTRO VIA AV PORTUGAL
2238;2214-08;FLORAMAR VIA. AV CRIST. GUIMARAES / PART.AV PARANÁ
152;2214R-01;FLORAMAR/VIADUTO SAO FRANCISCO
154;2214Z-01;FLORAMAR/ZOOLOGICO
156;2215A-01;CEU AZUL A
157;2215A-02;CEU AZUL A
158;2215A-03;CEU AZUL A
159;2215A-04;CEU AZUL A
160;2215A-05;CEU AZUL A
161;2215A-06;CEU AZUL A
162;2215A-07;CEU AZUL A
1466;2215A-08;CÉU AZUL A - PAT. RUA DOS NAVEGANTES
2035;2215A-09;CÉU AZUL A / PART. RUA DOS NAVEGANTES
2180;2215A-10;CÉU AZUL A  /  CENTRO
2181;2215A-11;CÉU AZUL  A /  PARTIDAS RUA DOS CAETÉS
4397;2215A-12;PARTIDAS AVENIDA A 
4396;2215A-13;PARTIDAS RUA RADIALISTA ORLANDO CAVALCANTE 
5156;2215A-14;DESVIO FESTA DE SÃO LÁZARO RUA PADRE PAULO REGÓLIO
164;2215B-01;CEU AZUL B
165;2215B-02;CEU AZUL B
166;2215B-03;CEU AZUL B - HOSPITAIS
167;2215B-04;CEU AZUL B
168;2215B-05;CEU AZUL B - DIRETA /  HOSPITAIS
169;2215B-06;CEU AZUL B
170;2215B-07;CEU AZUL B
2781;2215B-08;CÉU AZUL B - CENTRO
2797;2215B-09;CÉU AZUL B - PART. RUA CAETÉS
172;2215C-01;KATIA VIA CEU AZUL
173;2215C-02;KATIA VIA CEU AZUL
793;2215C-03;KATIA VIA CEU AZUL
2782;2215C-04;KATIA - CENTRO
2798;2215C-05;KATIA VIA CEU AZUL - PARTIDAS RUA CAETÉS
175;2215D-02;CEU AZUL D
176;2215D-03;CEU AZUL D - HOSPITAIS
2775;2215D-04;CÉU AZUL D / PARTIDAS DA RUA CAETÉS
178;2215R-01;KATIA/VIADUTO SAO FRANCISCO
180;2216-01;SANTA BRANCA
1467;2216-03;SANTA BRANCA / CENTRO
1468;2216-04;SANTA BRANCA - PARTIDAS AV BERNARDO MONTEIRO
182;2224A-01;JARDIM DOS COMERCIARIOS A
183;2224A-02;JARDIM DOS COMERCIARIOS A
184;2224A-05;JARDIM DOS COMERCIARIOS A
185;2224A-06;JARDIM DOS COMERCIARIOS A
794;2224A-07;JARDIM DOS COMERCIARIOS A
1051;2224A-08;JARDIM DOS COMERCIARIOS A
3216;2224A-09;JARDIM DOS COMERCIARIOS A/ PART. RUA IVAN F. ALVES
4218;2224A-10;AV SANTOS DUMONT / JARDIM DOS COMERCIARIOS A
4219;2224A-11;JARDIM DOS COMERCIÁRIOS / AV SANTOS DUMONT
187;2224C-02;JARDIM DOS COMERCIARIOS C
795;2224C-03;JARDIM DOS COMERCIARIOS C
1924;2224C-04;JARDIM DOS COMERCIARIOS C
2776;2224C-05;JARDIM DOS COMERCIARIOS C - CENTRO   
2794;2224C-06;JARDIM  COMERCIARIOS C - PART. RUA RIO DE JANEIRO
189;2224R-01;JARDIM DOS COMERCIARIOS/VIADUTO SAO FRANCISCO
191;2234A-01;JAQUELINE A
192;2234A-02;JAQUELINE A
193;2234A-04;JAQUELINE A
1024;2234A-05;JAQUELINE A
1025;2234A-06;JAQUELINE A
1936;2234A-07;JAQUELINE A / AT. RESID. JAQUELINE 2 SEÇÃO
195;2234B-01;JAQUELINE B
1026;2234B-03;JAQUELINE B / CENTRO
1027;2234B-04;JAQUELINE B / PARTIDAS DA AV SANTOS DUMONT
197;2256A-01;SAO JOAO BATISTA A
198;2256A-02;SAO JOAO BATISTA A
199;2256A-03;SAO JOAO BATISTA A
1398;2256A-04;SÃO JOÃO BATISTA A
1763;2256A-05;SÃO JOÃO BATISTA A / PART. PÇA PEDRO ALCÂNTARA MOR
4220;2256A-06;PÇA PEDRO ALCANTARA MOREIRA / AV SANTOS DUMONT   
4221;2256A-07;AV SANTOS DUMONT/ SÃO JOÃO BATISTA
4276;2256A-08;SÃO JOÃO BATISTA / AV ALFREDO BALENA - HOSPITAIS
4277;2256A-09;RUA GOIÁS / SÃO JOÃO BATISTA
201;2256B-01;SAO JOAO BATISTA B
202;2256B-02;SAO JOAO BATISTA B
204;2402A-01;SAO BERNARDO/NOSSA SENHORA DA GLORIA A
3418;2402A-03;SAO BERNARDO/NOSSA SENHORA DA GLORIA A
867;3000-01;ACESSO ESTAÇÃO SAO GABRIEL
5400;3000-02;ACESSO ESTAÇÃO SÃO GABRIEL
5419;3001-01;LINHA BLOQUEIO SÃO GABRIEL
207;30-02;EST.DIAMANTE/CENTRO-PARADORA
5418;3002-01;LINHA BLOQUEIO MOVE SÃO GABRIEL (TARIFA A)
221;301-01;VIA RUA DA OLARIA
222;301-02;SOLAR/BRASIL INDUSTRIAL
223;301-03;SOLAR/BRASIL INDUSTRIAL
1000;301-04;SOLAR/BRASIL INDUSTRIAL
6498;301-05;VIA UPA BARREIRO
8035;3011-01;INDEPENDÊNCIA/ CENTRO
217;30-14;ESTACAO DIAMANTE/CENTRO
218;30-15;ESTACAO DIAMANTE/CENTRO
219;30-16;ESTACAO DIAMANTE/CENTRO
6265;30-17;ATENDIMENTO CARNAVAL
8019;3020-01;ÁGUAS CLARAS-VILA PINHO/CENTRO
225;302-01;ESTAÇÃO DIAMANTE / VILA PINHO
226;302-03;VILA PINHO/NOVO SANTA CECILIA
227;302-04;NOTURNO
1085;302-05;VIA CONJUNTO ÁGUAS CLARAS
2335;302-06;ESTAÇÃO DIAMANTE / VILA PINHO
4018;3029-01;REGINA / CENTRO
7838;3029-02;REGINA / RUA DOS CAETES
5713;3030-01;PILAR - OLHOS D AGUA / CENTRO
5714;3030-02;DESVIO FEIRA AFONSO PENA
6248;3030-03;ATENDIMENTO CARNAVAL
7358;3030-04;AT. OLHOS DAGUA NORTE
229;303-01;EST.DIAM./STA CECILIA-CASTANHEIRAS
230;303-02;SANTA CECILIA/CASTANHEIRAS
873;303-03;VIA ÁREA INDUSTRIAL
232;304-01;EST. DIAMANTE / JATOBA IV
