NumeroLinha;Linha;Nome
2594;5523A-06;CONJUNTO PAULO VI
4657;5523A-07;VISTA DO SOL - NAZARÉ / CENTRO
4716;5523A-08;RETORNO EXPRESSO PORTAS (PORTAS FECHADAS)
467;5523B-01;PAULO VI
469;5525A-01;BELMONTE
470;5525A-02;BELMONTE
472;5525B-01;PARQUE BELMONTE
474;5534-01;CONJUNTO ZILAH SPOSITO
475;5534-02;CONJUNTO ZILAH SPOSITO
3000;5534-03;CONJUNTO ZILAH SPOSITO /  CENTRO
3001;5534-04;CONJ. ZILAH SPOSITO /CENTRO ATEND. CONJ. UBIRAJARA
3002;5534-05;CONJ. ZILAH SPOSITO - PATIDAS AV SANTOS DUMONT
3003;5534-06; ZILAH SPOSITO/PART. AV SANTOS DUMONT AT.UBIRAJARA
4222;5534-07;CONJUNTO ZILAH SPOSITO / RUA DOS GUAICURUS
4223;5534-08;RUA DOS GUAICURUS / CONJUNTO ZILAH SPÓSITO
477;5537-01;SERRA VERDE
478;5537-02;SERRA VERDE
480;5540-01;JARDIM LEBLON VIA RIO BRANCO
797;5540-02;JARDIM LEBLON VIA RIO BRANCO
5675;5550-01;EST. PAMPULHA / EST.SÃO JOSÉ
5676;5550-02;EST.PAMPULHA/EST.SÃO JOSÉ
5677;5550-03;EST.PAMPULHA/EST.SÃO JOSÉ-NOTURNO
5515;6000-01;ACESSO ESTAÇÃO PAMPULHA
482;60-01;VENDA NOVA/CENTRO
5517;6001-01;LINHAS BLOQUEIO ESTAÇÃO PAMPULHA
483;60-02;VENDA NOVA/CENTRO
484;60-03;VENDA NOVA/CENTRO
3741;60-04;VENDA NOVA/CENTRO - VIA ESTAÇÃO VILARINHO
1403;6006-01;LINHA TOTEM METRÔ ESTAÇÃO CARLOS PRATES
1405;6007-01;LINHA TOTEM METRÔ ESTAÇÃO LAGOINHA
1407;6008-01;LINHA TOTEM METRÔ ESTAÇÃO CENTRAL
1409;6009-01;LINHA TOTEM METRÔ ESTAÇÃO SANTA EFIGÊNIA
486;601-01;JULIANA/NOVA YORK
3214;601-02;JULIANA/NOVA YORK - ATENDEMENTO À  ANTENA
3215;601-03;JULIANA/NOVA YORK - NÃO ATEND. EST. VILARINHO     
5116;601-04;RETORNO ESTAÇÃO VILARINHO - PICO DA MANHÃ
5117;601-05;PARTIDAS DA ESTAÇÃO VILARINHO - PICO DA TARDE
8025;6014-01;CÉU AZUL/CENTRO
8039;6017-01;PIRATININGA VIA RIO BRANCO/CENTRO
8029;6018-01;RIO BRANCO VIA JARDIM LEBLON/CENTRO
1865;6024-01;MARIA HELENA A / VIA AV CRISTIANO MACHADO
1867;6025-01;MARIA HELENA B / VIA ANTÔNIO CARLOS RET. EXPRESSO
1870;6027-01;MANTIQUEIRA / CENTRO VIA ANT. CARLOS RET. EXPRESSO
1882;6027-02;MANTIQUEIRA / CENTRO VIA C.MACHADO RET. EXPRESSO
2777;6027-03;MANTIQUEIRA - CENTRO
5817;6030-01;CID. ADMIN./SAVASSI- HOSPITAIS
6146;6030-02;CID.ADM./SAVASSI- VIA ANDRADAS
6143;6031-01;CIDADE ADMINISTRATIVA/CENTRO
8027;6032-01;MANTIQUEIRA/CENTRO
8033;6034-01;NOVA YORK VIA JD. DOS COMERCIÁRIOS/CENTRO
488;606-01;FLORAMAR/JARDIM EUROPA
768;607-01;EST.VILARINHO/ESPLENDOR 
769;607-02;PEDRA BRANCA/JAQUELINE
770;607-03;ESPLENDOR / JAQUELINE
2280;607-04;ESPLENDOR/JAQUELINE - RET. ESTAÇÃO VILARINHO
3736;607-05;ESTAÇÃO VILARINHO / ESPLENDOR
6861;607-06;PARTIDAS DA ESTAÇÃO VILARINHO
6862;607-07;ESPLENDOR/ESTAÇÃO VILARINHO
490;608-01;EST. VENDA NOVA/NOVA PAMPULHA
491;608-02;NOVA PAMPULHA/VENDA NOVA
1034;608-03;NOVA PAMPULHA/VENDA NOVA
5878;608-04;ESCOLA MARIA ANDRADE-NOVA PAMPULHA
7278;608-05;ESCOLA MARIA ANDRADE-VENDA NOVA
7279;608-06;PARTIDAS R. FRANCISCO ADOLFO VIANA
493;609-01;SERRA VERDE/SANTA MONICA
3014;609-02;CID. ADMIN-SENTIDO SERRA VERDE
3015;609-03;CID. ADMIN-SENTIDO STA MONICA
495;61-01;EST. VENDA NOVA/CENTRO-DIRETA
496;61-02;ESTACAO VENDA NOVA/CENTRO-DIRETA
497;61-03;ESTACAO VENDA NOVA/CENTRO-DIRETA
498;61-04;ESTACAO VENDA NOVA/CENTRO-DIRETA
1684;61-05;ATENDIMENTO À ESTACAO SÃO GABRIEL - PARADORA
1685;61-06;ESTACAO VENDA NOVA/CENTRO-DIRETA/NOT.SÃO GABRIEL
1782;61-07;ATEND. TERM. AARÃO REIS-DIRETA AREA CENTRAL 
1783;61-08;EST. VENDA NOVA/TERM.AARÃO REIS - AV PARANÁ   
1784;61-09;EST. VENDA NOVA / RETORNO TERM. AARÃO REIS 
1785;61-10;EST. VENDA NOVA / RETORNO TERM. AARÃO REIS 
1786;61-11;EST. VENDA NOVA / AV PARANÁ
1787;61-12;EST. VENDA NOVA / AV PARANÁ
3539;61-13;ESTACAO VENDA NOVA/CENTRO VIA ANT. CARLOS-PARADORA
4214;61-14;R. AARÃO REIS / EST. V. NOVA-DIRETA  EST. V. NOVA
4215;61-15;EST V. NOVA / R. MATO GROSSO-DIRETA  AREA CENTRAL
500;613-01;CIRCULAR CEU ANIL
5567;614-01;EST. PAMPULHA/CÉU AZUL A
5570;614-02;NOTURNO
5584;614-03;PARTIDAS EST. PAMPULHA
5585;614-04;PARTIDAS RUA JOSE ROCHA PAIXAO
5587;614-05;DESVIO FESTA DE SÃO LÁZARO
6805;614-06;CÉU AZUL/ESTAÇÃO PAMPULHA
6806;614-07;ESTAÇÃO PAMPULHA/CÉU AZUL
5572;615-01;EST. PAMPULHA / CÉU AZUL B
5978;615-02;CÉU AZUL/ESTAÇÃO PAMPULHA
6864;615-03;PARTIDAS DA ESTAÇÃO PAMPULHA
7998;615-04;VIA RUA CARLOS LACERDA
7999;615-05;EST/BAIRRO/EST. VIA C. LACERDA
5574;616-01;EST. PAMPULHA / CÉU AZUL C
5575;616-02;NOTURNO
6808;616-03;PARTIDAS DA ESTAÇÃO PAMPULHA
6858;616-04;CÉU AZUL/ESTAÇÃO PAMPULHA
5602;617-01;EST. PAMP/PIRATININGA-VIA R.BRANCO
5603;617-02;NOTURNO
5977;617-03;PIRATININGA/ESTAÇÃO PAMPULHA
6865;617-04;PARTIDAS DA ESTAÇÃO PAMPULHA
5577;618-01;EST.PAMP/R.BRANCO-VIA JD LEBLON 
5578;618-02;NOTURNO
5600;618-03;PARTIDAS DO JARDIM LEBLON
6898;618-04;PARTIDAS DA ESTAÇÃO PAMPULHA
6998;618-05;RIO BRANCO/ESTAÇÃO PAMPULHA
5605;619-01;EST.PAMP/STA MÔNICA-STA BRANCA
5622;619-02;NOTURNO
5623;619-03;VIA R. VISCONDE DE TAUNAY
6818;619-04;SANTA MÔNICA/ESTAÇÃO PAMPULHA
7044;619-05;PARTIDAS DA ESTAÇÃO PAMPULHA
7398;619-06;ESTAÇÃO PAMPULHA/SANTA MÔNICA 
5607;620-01;EST.PAMP/STA MÔNICA-STA AMÉLIA
6809;620-02;PARTIDAS DA ESTAÇÃO PAMPULHA
6859;620-03;SANTA MÔNICA/EST. PAMPULHA
502;62-01;EST.VENDA NOVA/SAVASSI-HOSPITAIS
503;62-02;ESTACAO VENDA NOVA/SAVASSI VIA HOSPITAIS
798;62-03;PARQUE DA MANGABEIRAS
799;62-04;ESTACAO VENDA NOVA/SAVASSI VIA HOSPITAIS
979;62-05;ESTACAO VENDA NOVA/SAVASSI VIA HOSPITAIS
980;62-06;ESTACAO VENDA NOVA/SAVASSI VIA HOSPITAIS
1035;62-07;NOTURNO
1036;62-08;ESTACAO VENDA NOVA/SAVASSI VIA HOSPITAIS
4216;62-09;AV FRANCISCO SALES / ESTAÇÃO VENDA NOVA
4294;62-10;ESTAÇÃO VENDA NOVA / RUA PROFESSOR MORAES
505;621-01;EST. VENDA NOVA/LAGOA
506;621-02;LAGOA/ESTACAO VENDA NOVA
1523;621-05;PARTIDAS RUA J.SABINO MACIEL
6978;621-06;NOTURNO
7982;621-07;ESTAÇÃO VENDA NOVA  / LAGOA
4695;62-11;DIRETA - ESTAÇÃO VENDA NOVA / HOSPITAIS (TARDE)
5778;62-12;VIA EST. VILARINHO
6018;62-13;DIRETA
6144;62-14;EST. V. NOVA/SAVASSI - DIRETA
6422;62-15;ATENDIMENTO CARNAVAL
6423;62-16;PARQUE DAS MANGABEIRAS-CARNAVAL
6458;62-17;VIA VILARINHO - CARNAVAL
508;622-01;EST. VENDA NOVA/LAGOINHA
509;622-02;LAGOINHA/ESTACAO VENDA NOVA
510;622-05;LAGOINHA/ESTACAO VENDA NOVA
511;622-06;LAGOINHA/ESTACAO VENDA NOVA
1053;622-07;NOTURNO
513;623-01;EST.VENDA NOVA/VILA STA BRANCA
514;623-02;NOTURNO
516;624-01;EST. VENDA NOVA/MARIA HELENA A
517;624-02;NOTURNO
518;624-03;MARIA HELENA A/ESTACAO VENDA NOVA
519;624-04;MARIA HELENA A/ESTACAO VENDA NOVA
1802;624-05;MARIA HELENA A/ESTACAO VENDA NOVA
521;625-01;EST.VENDA NOVA/MARIA HELENA B
522;625-02;NOTURNO
523;625-03;MARIA HELENA B/ESTACAO VENDA NOVA
524;625-04;MARIA HELENA B/ESTACAO VENDA NOVA
526;626-01;LANDI VIA NOVA AMERICA/ESTACAO VENDA NOVA
527;626-02;NOTURNO
528;626-03;LANDI VIA NOVA AMERICA/ESTACAO VENDA NOVA
529;626-04;LANDI VIA NOVA AMERICA/ESTACAO VENDA NOVA
530;626-05;PARTIDAS DA R.EDMAR COLINI
1917;626-06;EST.V.NOVA/ESPLENDOR-N. AMERICA
2435;626-07;LANDI VIA NOVA AMÉRICA/ESTAÇÃO VENDA NOVA
2436;626-08;ESTAÇÃO VENDA NOVA/ ESPLENDOR - VIA NOVA AMERICA
6899;626-09;PARTIDAS DA ESTAÇÃO VENDA NOVA
6900;626-10;ESPLENDOR/ESTAÇÃO VENDA NOVA
532;627-01;MANTIQUEIRA/ESTACAO VENDA NOVA
533;627-02;NOTURNO
534;627-03;MANTIQUEIRA/ESTACAO VENDA NOVA
535;627-04;MANTIQUEIRA/ESTACAO VENDA NOVA
944;627-05;MANTIQUEIRA / ESTAÇÃO VENDA NOVA
1918;627-06;EST. VENDA NOVA / MANTIQUEIRA
537;628-01;NOVA YORK/ESTACAO VENDA NOVA
539;629-01;JARDIM DOS COMERCIARIOS/ESTACAO VENDA NOVA
544;630-01;EST.VILAR/S.VERDE- AV.SALAMANCA
1974;630-02;SERRA VERDE/ESTACAO VENDA - ATENDIMENTO AO CANAA
541;63-01;EST.VENDA NOVA/LAGOINHA
542;63-02;RETORNO NO VIADUTO SÃO FRANCISCO
4658;63-03;ESTACAO VENDA NOVA/RUA PEÇANHA
4659;63-04;RUA PEÇANHA / ESTACAO VENDA NOVA
5736;63-05;CENTRO VIA EST. VILARINHO
5737;63-06;NOTURNO
6424;63-07;CENTRO-ATENDIMENTO CARNAVAL
7204;63-08;ATENDIMENTO SABADO DE CARNAVAL
7598;63-09;VIA ESTAÇÃO VILARINHO
546;631-01;EST.VILAR. / S. VERDE- MINAS CAIXA
1976;631-02;ATEND. AO CANAA
548;633-01;EST. VILARINHO/JD COMERCIARIOS
1030;633-02;NOTURNO
3737;633-03;EST.VILARINHO/J. COMERCIÁRIOS- VIA EST. VENDA NOVA
1905;634-01;EST.VILAR/N. YORK- J. COMERCIÁRIOS
1919;634-02;NOVA  YORK/PART. E.VENDA NOVA VIA  J. COMERCIÁRIOS
4334;634-03;ESTAÇÃO VILARINHO / RUA LUCI LÉLIS
5784;634-04;ATENDIMENTO A ANTENA
5785;634-05;VIA ESTAÇÃO VENDA NOVA
7038;634-06;NOVA YORK/ESTAÇÃO VILARINHO
7039;634-07;NOVA YORKI/ESTAÇÃO VIA ANTENA
7040;634-08;PARTIDAS DA ESTAÇÃO VILARINHO
7042;634-09;NOVA YORK/ESTAÇÃO.VILARINHO VIA EVN 
7043;634-10;PARTIDAS EST VILARINHO VIA EVN
4023;6350-01;EST.VILAR./EST.BARREIRO-VIA ANEL
8078;6350-02;RETORNO AV. TANCREDO NEVES/PEDRO II
1907;635-01;JARDIM COMERCIÁRIOS / ESTAÇÃO VENDA NOVA
1920;635-02;EST.VILAR./J. DOS COMERCIÁRIOS C
2197;635-03;JARDIM COMERCIÁRIOS / ESTAÇÃO VENDA NOVA
3742;635-04;ESTAÇÃO VILARINHO / JARDIM COMERCIÁRIOS C
4335;635-05;ESTAÇÃO VILARINHO / RUA PEDRA TURMALINA
1909;636-01;JARDIM EUROPA / ESTAÇÃO VENDA NOVA
1921;636-02;EST. VILARINHO / JARDIM EUROPA 
2198;636-03;JARDIM EUROPA / ESTAÇÃO VENDA NOVA
3743;636-04;ESTAÇÃO VENDA NOVA / JARDIM EUROPA
4095;636-05;ESTAÇÃO VILARINHO / RUA BENEDITO ANICETO OLIVEIRA
4354;636-06;EST. VENDA NOVA / JARDIM EUROPA VIA B. CENÁCULO   
4355;636-07;ESTAÇÃO VILARINHO / JARDIM EUROPA VIA B. CENÁCULO
4655;636-08;EST. VENDA NOVA/JD. EUROPA VIA CENÁCULO PICO MANHÃ
4656;636-09;EST. VENDA NOVA/JD. EUROPA VIA CENÁCULO PICO-TARDE
7980;636-10;ESTAÇAOVILARINHO / JARDIM EUROPA
1863;637-01; EST.VILARINHO/CANAÃ-  S. VERDE
1922;637-02;CANAÃ / ESTAÇÃO VILARINHO - PART. SERRA VERDE
1994;637-03;ESTAÇÃO VILARINHO / SERRA VERDE - PICO TARDE
2417;637-04;EST.VILARINHO/CANAÃ  VIA MG 10
3114;637-05;ATENDIMENTO CIDADE ADMINISTRATIVA
3738;637-06;ESTAÇÃO VILARINHO / SERRA VERDE
4096;637-07;EST.VILARINHO/R.LUANDA- CANAÂ
3749;638-01;EST. VILARINHO / MINAS CAIXA
4114;638-02;ESTAÇÃO VILARINHO / RUA EDGAR TORRES
3706;639-01;BRAUNAS / SHOPPING DEL REY
1911;640-01;EST. V.NOVA/J.LEBLON-RIO BRANCO 
1923;640-02;ESTAÇÃO VENDA NOVA/JARDIM LEBLON VIA RIO BRANCO
550;64-01;EST.V.NOVA/ASSEMB.VIA CARLOS LUZ
551;64-02;ESTACAO VENDA NOVA/SANTO AGOSTINHO V.CARLOS LUZ
552;64-03;RETORNO AV. DOM PEDRO II
553;64-04;ESTACAO VENDA NOVA/SANTO AGOSTINHO V.CARLOS LUZ
800;64-05;ESTAÇÃO VENDA NOVA / ASSEMBLEIA -  VIA CARLOS LUZ
801;64-06;ESTACAO VENDA NOVA/SANTO AGOSTINHO V.CARLOS LUZ
983;64-07;EST. VENDA NOVA / ASSEMBLEIA - DESVIO FEIRA AUT.
984;64-08;EST. VENDA NOVA/STO AGOSTINHO - DESVIO FEIRA AUT.
3774;64-09;VIA EST. VILARINHO
3775;64-10;ZOOLÓGICO
3896;641-01;EST. VILARINHO / SERRA VERDE
4116;641-02;ESTAÇÃO VILARINHO / RUA GUIDO LEÃO
6819;641-03;PARTIDAS DA ESTAÇÃO VILARINHO
6820;641-04;SERRA VERDE / ESTAÇÃO VILARINHO
4274;64-11;ESTAÇÃO VENDA NOVA / AV OLEGÁRIO MACIEL
4275;64-12;AV AUGUSTO DE LINHA / ESTAÇÃO VENDA NOVA
6680;64-13;ATENDIMENTO CARNAVAL
7599;64-14;VIA AV. BIAS FORTES
7618;64-15;VIA ESTAÇÃO VILARINHO-RETORNO AV.PEDROII 
6037;642-01;EST.VENDA NOVA/EST.VILARINHO/CID.ADMINISTRATIVA 
4194;642-02;EST.VENDA NOVA / EST.VILARINHO
5236;642-03;CID. ADMINISTRATIVA / EST. V. NOVA
6838;642-04;PARTIDAS DA ESTAÇÃO VENDA NOVA
6846;642-05;RETORNO SERRA VERDE
5580;643-01;EST.PAMP/COPACABANA-M.CARMELO 
6811;643-02;PARTIDAS DA ESTAÇÃO PAMPULHA
6860;643-03;COPACABANA/EST. PAMPULHA
5609;644-01;EST.PAMPULHA/SÃO JOÃO BATISTA
5610;644-02;NOTURNO
5611;644-03;PARTIDAS PÇA PEDRO A. MOREIRA
6866;644-04;PARTIDAS DA ESTAÇÃO PAMPULHA
6867;644-05;SÃO JOÃO BATISTA/EST. PAMPULHA
7979;644-06;ESTAÇAO PAMPULHA / SÃO JOÃO BATISTA
5583;645-01;EST.PAMP/STA MÔNICA-JD ATLÂNTICO
6821;645-02;PARTIDAS DA ESTAÇÃO PAMPULHA
3740;65-01;EST.VILAR./CENTRO-A.CARLOS/DIRETA
4174;65-02;ESTAÇÃO VILARINHO / PRAÇA DA ESTAÇÃO
4175;65-03;ATENDENDIMENTO  CIDADE ADMINITRATIVA - PICO MANHÃ
4176;65-04;ATENDIMENTO CIDADE ADMINISTRATIVA - PICO TARDE
5097;65-05;CENTRO/ESTAÇÃO VILARINHO - PICO MANHÃ
4514;66-01;EST. VILARINHO/CENTRO/HOSP/VIA C.MACHADO
4235;66-03;ATENDIMENTO CIDDADE ADMINISTRATIVA PICO TARDE
4236;66-04;RUA PROF. MORAES/CIDADE. ADM. - PICO MANHÃ
4237;66-05;CIDADE ADM. / RUA PROF MORAES - PICO TARDE
4664;66-06;ESTAÇÃO SÃO GABRIEL / SAVASSI
6145;66-07;EST. VILAR./CENTRO - DIRETA
6425;66-08;ATENDIMENTO CARNAVAL
4661;67-01;EST.VILAR./STO AGOST./AV.CARLOS LUZ
4662;67-02;AV. AUGUSTO DE LIMA / CIDADE ADM. - PICO MANHÃ 
4663;67-03;CIDADE ADM. / AV. OLEGÁRIO MACIEL - PICO TARDE
6426;67-04;ATENDIMENTO CARNAVAL
7138;67-05;RETORNO NA AV. DOM PEDRO II
5777;68-01;EST. VILARINHO / LAGOINHA
5671;7000-01;LINHAS ACESSO ESTAÇÃO VILARINHO
5673;7001-01;LINHAS BLOQUEIO ESTAÇÃO VILARINHO
555;701-01;GUARANI/ESTACAO MINAS SHOPPING
556;701-02;GUARANI/ESTACAO MINAS SHOPPING
8023;7015-01;MONTE AZUL/CENTRO
8138;7015-02;MONTE AZUL/RUA DOS CAETÉS
558;702-01;ESTAÇÃO VILARINHO/XODO-MARIZE VIA JD. GUANABARA
559;702-03;ESTAÇÃO SÃO GABRIEL/XODO-MARIZE
3714;702-04;XODO-MARIZE- ATEND. ESTAÇÃO SÃO GABRIEL
561;7030-01;GUARANI/CENTRO
1623;703-01;EST. SÃO GABRIEL/GUARANI A
563;7031-01;JULIO MARIA/CENTRO
8031;7037-01;JAQUELINE/CENTRO
5280;704-01;ESTAÇÃO SÃO GABRIEL / GUARANI
803;705-01;EST. SAO GABRIEL/SAO TOMAZ
804;705-02;ESTACAO SAO GABRIEL / RUA SAO LUIZ
805;705-03;PARTIDAS RUA SÃO LUIZ / ESTACAO SAO GABRIEL
5365;705-05;NOTURNO
6158;705-06;CENTRO ESP. MÉDICA - UNIFENAS
807;706-01;EST. SAO GABRIEL/ HELIOPOLIS
808;706-02;ESTACAO SAO GABRIEL / RUA NAIR PENTAGNA GUIMARÃES
5366;706-03;NOTURNO 
810;707-01;EST.SAO GABRIEL/JD GUANABARA
811;707-02;ESTACAO SAO GABRIEL / RUA  JOSÉ SOARES
5549;707-03;VIA VILA CLORIS E BAIRRO XODÓ
5658;707-04;RETORNO EXPRESSO
813;708-01;EST. SÃO GABRIEL / FELICIDADE
814;708-02;ESTACAO SAO GABRIEL / RUA EXPED. JESUS RAMOS
3675;709-01;EST. SÃO GABRIEL/TUPI
3681;710-01;EST. SÃO GABRIEL/PROVIDENCIA
844;711-01;EST. SAO GABRIEL/SOLIMOES
845;711-02;ESTACAO SAO GABRIEL / RUA IPÊ ROXO
2134;711-03;ESTACAO SAO GABRIEL/SOLIMOES -  PART. SETOR OESTE
5367;711-04;NOTURNO
5710;712-01;EST. PAMPULHA / SÃO BERNARDO
5711;712-02;NOTURNO
5731;712-03;RETORNO EXPRESSO - MANHÃ
5732;712-04;RETORNO EXPRESSO - TARDE
7918;712-05;SAO BERNARDO / EST. PAMPULHA
847;713-01;EST. SAO GABRIEL/LAJEDO
874;713-02;LAJEDO/ ESTAÇÃO SÃO GABRIEL
1190;713-03;NOTURNO
849;714-01;EST. S. GABRIEL/CASAS POPULARES
875;714-02;CASAS POPULARES/ ESTAÇÃO SÃO GABRIEL
851;715-01;EST. SAO GABRIEL / MONTE AZUL
2135;715-02;ESTAÇÃO SAO GABRIEL/MONTE AZUL - PART. SETOR OESTE
5376;715-03;NOTURNO
8438;715-04;VIA CENTRO SAUDE MG-020.
853;716-01;EST.S. GABRIEL/NOVO AARAO REIS
854;716-02;ESTACAO SAO GABRIEL / AV UM
2136;716-03;EST. SAO GABRIEL/NOVO AARAO REIS-PART. SETOR OESTE
5369;716-04;NOTURNO
5613;717-01;EST. PAMPULHA/CAMPO ALEGRE
5614;717-02;PRINCIPAL
5657;717-03;RETORNO EXPRESSO
6839;717-04;CAMPO ALEGRE / ESTAÇÃO PAMPULHA 
6840;717-05;PARTIDAS DA ESTAÇÃO PAMPULHA
5616;718-01;EST. PAMPULHA/PLANALTO
6841;718-02;PLANALTO/ESTAÇÃO PAMPULHA
6842;718-03;PARTIDAS DA ESTAÇÃO PAMPULHA
5619;719-01;EST. PAMPULHA/FLORAMAR
5621;719-02;NOTURNO
5656;719-03;RETORNO EXPRESSO
6901;719-04;FLORAMAR/ESTAÇÃO PAMPULHA
6902;719-05;PARTIDAS DA ESTAÇÃO PAMPULHA
3683;732-01;EST. SÃO GABRIEL/TUPI-FELICIDADE
3685;733-01;JARDIM GUANABARA / ESTAÇÃO SÃO GBRIEL
3687;734-01;EST.S.GABRIEL/A.REIS- MINASLÂNDIA
3753;735-01;EST. VILARINHO /  JULIANA   A
4135;735-02;ESTAÇÃO VILARINHO / RUA TIPUANA
3755;736-01;EST. VILARINHO / JULIANA  B
4117;736-02;ESTAÇÃO VILARINHO / RUA MARIA MARTINS
3757;737-01;EST.VILARINHO/JAQUELINE
4134;737-02;ESTAÇÃO VILARINHO / RUA AGENOR DE PAULA ESTRELA
5781;737-03;PARTIDAS - E.E. P.COMANDUCCI
6843;737-04;JAQUELINE/ESTAÇÃO VILARINHO
6844;737-05;PARTIDAS DA ESTAÇÃO VILARINHO
3745;738-01;EST.VILAR./CONJ. ZILAH SPÓSITO
4136;738-02;ESTAÇÃO VILARINHO / RUA ATANÁSIA DOS JARDINS
6845;738-03;CONJ.ZILAH SPOSITO/EST.VILARINHO
6847;738-04;PARTIDAS DA ESTAÇÃO VILARINHO
3747;739-01;EST.VILAR/JAQ. 2ª SEÇ-FREI LEOPOLDO
4137;739-02;ESTAÇÃO VILARINHO / RUA CARNAÚBA
5782;739-03;NOTURNO
6903;739-04;JAQUELINE/ESTAÇÃO VILARINHO
6904;739-05;PARTIDAS DA ESTAÇÃO VILARINHO
6760;740-01;TUPI-MIRANTE
3751;741-01;ESTAÇÃO VILARINHO / PLANALTO
7899;750-01;PRINCIPAL
816;80-01;ESTACAO SAO GABRIEL/AV.CRISTIANO MACHADO
565;8001A-01;ANA LUCIA/BH SHOPPING
566;8001A-02;DESVIO FEIRA AV. AFONSO PENA
2314;8001A-04;RETORNO AV. N. SENHORA DO CARMO
6350;8001A-05;ATENDIMENTO CARNAVAL
876;80-02;ESTAÇÃO SÃO GABRIEL / AV. CRISTIANO MACHADO
1722;80-03;EST. SÃO GABRIEL/RETORNO TÚNEL LAG.- SETOR LESTE
1723;80-04;ESTAÇÃO SÃO GABRIEL/ ATEND. CENTRO- SETOR LESTE
1883;80-05;ESTAÇÃO SÃO GABRIEL / PARTIDAS VISTA DO SOL
8021;8015-01;CONJUNTO PAULO VI/CENTRO 
570;8030-01;DOM SILVERIO/CENTRO
568;803-01;MARIA GORETTI/BELMONTE VIA EST.MINAS SHOPPING
572;805-01;SAO MARCOS/MINAS SHOPPING VIA FERNAO DIAS
1625;806-01;EST.S.GABRIEL/VISTA DO SOL-NAZARÉ
2137;806-02;EST. SÃO GABRIEL/VISTA DO SOL-VIA NAZARÉ/-S.OESTE
2355;806-03;ESTAÇÃO SÃO GABRIEL-PARTIDAS DA RUA SANTA SECONDA
3814;806-04;EST. SÃO GABRIEL/VISTA SOL- PART. R. AMÉRICO ALVES
4594;806-05;PARTIDA DA RUA SANTA SECONDA (RETORNO NA ESTAÇÃO)
5371;806-06;NOTURNO
1627;807-01;EST.S.GABRIEL/RIBEIRO DE ABREU A
2138;807-02;RIBEIRO DE ABREU/EST. SÃO GABRIEL-PART SETOR OESTE
5436;807-03;PARTIDAS DA EST. SÃO GABRIEL
1629;808-01;EST. SÃO GABRIEL/PAULO VI
2139;808-02;PAULO VI / ESTAÇÃO SÃO GABRIEL - PART. SETOR OESTE
2356;808-03;EST. SÃO GABRIEL/PAULO VI - PART RUA  WILSON SILVA
4534;808-04;PARTIDA DA RUA WILSON SILVA (RETORNO NA ESTAÇÃO)
4674;808-05;EST. SÃO GABRIEL/PAULO VI - PART. RUA DAS ALMAS
5076;808-06;PARTIDAS DA ESTAÇÃO COM RETORNO NA RUA DAS ALMAS
5856;808-07;VIA PARQUE REAL
1631;809-01; EST. SÃO GABRIEL/BELMONTE
2140;809-02; ESTAÇÃO SÃO GABRIEL/BELMONTE /-PART. SETOR OESTE
5372;809-03;NOTURNO
1633;810-01;EST.S.GABRIEL/PQ BELMONTE-D.SILVÉRIO
2141;810-02;EST. SÃO GABRIEL/PARQUE BELMONTE -VIA DOM SILVÉRIO
2357;810-03;PARTIDAS DA RUA DONA SILVA
5373;810-04;NOTURNO
5836;810-05;VIA PUC SÃO GABRIEL
3677;81-01;ESTAÇÃO SÃO GABRIEL / HOSPITAIS VIA FLORESTA
574;8101-01;SANTA CRUZ/ALTO SANTA LUCIA
3538;8101-03;SANTA CRUZ / CENTRO
6434;8101-04;ATENDIMENTO CARNAVAL
7238;8101-05;SANTA CRUZ / CENTRO_CARNAVAL
576;8102-01;UNIAO/CARMO SION
577;8102-02;UNIAO/CARMO SION - ATEND. PRÇA MIGUEL CHQUILOFF
5898;8102-04;UNIÃIO/CARMO SION - DESVIO FEIRA AV. AFONSO PENA
6230;8102-05;PÇA M. CHIQUILOFF- CARNAVAL
6387;8102-06;ATENDIMENTO CARNAVAL
579;8103-01;NOVA FLORESTA/SANTA LUCIA
580;8103-02;NOVA FLORESTA / SANTA LUCIA 
2184;8103-03;NOTURNO
3004;8103-04;NOVA FLORESTA/SANTA LUCIA - RETORNO ÁREA CENTRAL
6231;8103-05;ATENDIMENTO CARNAVAL
6232;8103-06;PRAÇA DO SOL: CARNAVAL
6233;8103-07;NOTURNO: CARNAVAL
7800;8103-08;DESVIO FEIRA AV.AFONSO PENA
582;8103R-01;SAO BENTO/CENTRO
583;8103R-02;SAO BENTO/CENTRO
817;8103R-03;SAO BENTO/CENTRO
818;8103R-05;SAO BENTO/CENTRO
585;8106-01;SANTA CRUZ/BH SHOPPING VIA BELVEDERE
586;8106-02;DESVIO FEIRA AV. AFONSO PENA
1310;8106-03;SANTA CRUZ/BH SHOPPING VIA BELVEDERE
6234;8106-04;ATENDIMENTO CARNAVAL
746;8107-01;CONCORDIA/SAO PEDRO
747;8107-02;CONCORDIA/SAO PEDRO - DESVIO FEIRA AV. AFONSO PENA
6235;8107-03;ATENDIMENTO CARNAVAL
588;8108-01;CIDADE NOVA/SAVASSI
5899;8108-02;CIDADE NOVA/SAVASSI - DESVIO FEIRA AV. AFONSO PENA
6238;8108-03;ATENDIMENTO CARNAVAL
