ID_REDE_PRIORIZACAO_ONIBUS;NOME_ROTA;SITUACAO;INFRAESTRUTURA_ATUAL;INFRAESTRUTURA_PLANEJADA;ANO_IMPLANT_INFRA_ATUAL;HORIZONTE_IMPLANTACAO;POSICIONAMENTO_VIA;SISTEMA_BRT;REFERENCIA_LOGRADOURO;EXTENSAO_REDE_PLANEJADA;TIPO_LOGRADOURO;NOME_LOGRADOURO;LOGRAD_INICIAL;LOGRAD_FINAL;GEOMETRIA;EXTENSAO_TRECHO
314;ROTA LESTE 3;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2014;2025;LATERAL;NÃO;;143.898;AVE;DOS ANDRADAS;RUA DOS TUPINAMBAS;RUA DOS CARIJOS;MULTILINESTRING ((611463.389925193 7797163.53095922, 611451.71380967 7797114.21099815, 611443.979207721 7797079.40808218, 611446.716828027 7797021.89978783));143.898
279;ROTA HOSPITALAR;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2014;2020;LATERAL;NÃO;;129.798;RUA;DOS TIMBIRAS;AVE AFONSO PENA;RUA ALAGOAS;MULTILINESTRING ((611673.988788512 7796101.89705172, 611645.647821667 7796101.05722267, 611637.24530633 7796102.27697439, 611547.662453898 7796127.07192745));129.798
280;ROTA HOSPITALAR;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2014;2020;LATERAL;NÃO;;140.188;AVE;CARANDAI;RUA PARAIBA;RUA PERNAMBUCO;MULTILINESTRING ((611852.016566862 7796189.75916764, 611716.933145606 7796227.23154025));140.188
289;ROTA HOSPITALAR;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2014;2020;CENTRAL;NÃO;;130.559;AVE;CARANDAI;RUA PERNAMBUCO;RUA ALAGOAS;MULTILINESTRING ((611716.933145606 7796227.23154025, 611610.339116392 7796253.28623689, 611589.749243185 7796250.19686573));130.559
281;ROTA HOSPITALAR;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2014;2020;LATERAL;NÃO;;133.826;RUA;PERNAMBUCO;RUA DOS TIMBIRAS;AVE CARANDAI;MULTILINESTRING ((611673.988788512 7796101.89705172, 611688.682883048 7796122.26290631, 611716.933145606 7796227.23154025));133.826
208;BRT ROTOR PARANA/SANTOS DUMONT;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;141.499;AVE;SANTOS DUMONT;RUA SAO PAULO;PCA RIO BRANCO;MULTILINESTRING ((611045.29263601 7797512.97982991, 610908.675487715 7797549.81233276));141.499
209;BRT ROTOR PARANA/SANTOS DUMONT;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;139.991;AVE;SANTOS DUMONT;RUA RIO DE JANEIRO;RUA SAO PAULO;MULTILINESTRING ((611180.28535298 7797475.89737794, 611045.29263601 7797512.97982991));139.991
928;BRT CRISTIANO MACHADO;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2021;2020;LATERAL;SIM;;110.795;RUA;ESPIRITO SANTO;AVE DO CONTORNO;RUA DOS GUAICURUS;MULTILINESTRING ((611366.344583674 7797635.21494931, 611338.613809307 7797527.94678343));110.795
2058;BRT CRISTIANO MACHADO;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2018;0;CENTRAL;NÃO;;270.87;VDT;DONA MARGARIDA GENARO;AVE DO CONTORNO;RUA DOIS MIL CENTO E NOVENTA E SEIS;MULTILINESTRING ((611233.149460761 7797677.33637561, 611201.279272557 7797704.75079549, 611043.998038456 7797870.96696267));270.87
212;ROTA CONTORNO;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2014;2025;LATERAL;NÃO;;142.938;AVE;DO CONTORNO;RUA ESPIRITO SANTO;RUA DA BAHIA;MULTILINESTRING ((611366.344583674 7797635.21494931, 611504.462475632 7797598.41244035));142.938
