ID_REDE_PRIORIZACAO_ONIBUS;NOME_ROTA;SITUACAO;INFRAESTRUTURA_ATUAL;INFRAESTRUTURA_PLANEJADA;ANO_IMPLANT_INFRA_ATUAL;HORIZONTE_IMPLANTACAO;POSICIONAMENTO_VIA;SISTEMA_BRT;REFERENCIA_LOGRADOURO;EXTENSAO_REDE_PLANEJADA;TIPO_LOGRADOURO;NOME_LOGRADOURO;LOGRAD_INICIAL;LOGRAD_FINAL;GEOMETRIA;EXTENSAO_TRECHO
398;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;126.182;AVE;DOM PEDRO II;RUA NARCISO COELHO;RUA TOMAZ BRANDAO;MULTILINESTRING ((606357.208565824 7798464.6161271, 606340.139668131 7798493.8201827, 606325.247673333 7798517.41537997, 606311.048329455 7798537.13136684, 606287.720835942 7798570.74452497));126.182
396;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;113.073;AVE;DOM PEDRO II;RUA LIMA DUARTE;RUA MESQUITA;MULTILINESTRING ((608118.306515492 7798067.86688426, 608088.613230182 7798051.400236, 608062.457412075 7798040.50245421, 608014.507827494 7798023.78585683));113.073
397;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;112.418;AVE;DOM PEDRO II;RUA CATAGUAZES;RUA LIMA DUARTE;MULTILINESTRING ((608214.032521923 7798126.73490185, 608159.807849833 7798092.81180679, 608130.023860236 7798073.91565305, 608118.306515492 7798067.86688426));112.418
399;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;140.592;AVE;DOM PEDRO II;RUA MANGA;RUA LUNARDI;MULTILINESTRING ((608481.428760753 7798287.4821822, 608464.937072161 7798280.24365558, 608402.458309931 7798246.1006053, 608359.604657124 7798217.76637266));140.592
197;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;97.411;AVE;DOM PEDRO II;RUA ITANHOMI;AVE PRESIDENTE CARLOS LUZ;MULTILINESTRING ((608688.795253108 7798356.62810775, 608653.140222372 7798345.06046231, 608595.732654384 7798327.83396871));97.411
2033;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;88.96;RUA;TRES PONTAS;RUA ESPINOSA;RUA SABINOPOLIS;MULTILINESTRING ((608890.735979916 7798008.25901727, 608805.638866782 7798034.2037363));88.96
2034;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;95.879;RUA;TRES PONTAS;RUA SABINOPOLIS;RUA ITAMARANDIBA;MULTILINESTRING ((608805.638866782 7798034.2037363, 608713.829636391 7798061.84810937));95.879
1966;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;126.664;RUA;TRES PONTAS;RUA CAMPOS GERAIS;RUA MANGA;MULTILINESTRING ((608667.232370274 7798057.84892339, 608583.512313137 7798037.44307694, 608544.163144157 7798027.84503059));126.664
1832;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;109.623;RUA;RIO POMBA;RUA FRANCISCO BICALHO;RUA COSTA SENNA;MULTILINESTRING ((607014.971319469 7797745.3025413, 606905.441769686 7797749.81162349));109.623
2045;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;117.385;AVE;DOM PEDRO II;RUA HENRIQUE GORCEIX;RUA VILA RICA;MULTILINESTRING ((606799.853733476 7797876.83576809, 606701.620990378 7797880.42503751, 606686.547587005 7797892.13265445));117.385
189;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;323.885;AVE;DOM PEDRO II;RUA ARCEBURGO;RUA JAGUARI;MULTILINESTRING ((609971.840379717 7797773.54679226, 609927.271591297 7797748.69185141, 609911.30763674 7797740.70347742, 609881.193813371 7797731.48535375, 609865.213367126 7797724.72672944, 609831.421897201 7797713.66898022, 609775.515072874 7797696.46248255, 609733.296350079 7797682.77526854, 609719.740182056 7797680.86565724, 609689.494425178 7797679.87585871, 609665.721656073 7797680.07581801));323.885
987;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;623.945;VDT;NANSEN ARAUJO;RUA CURITIBA;VDT SENEGAL;MULTILINESTRING ((610957.424919193 7797732.8950668, 610861.94628809 7797757.53005242, 610849.239442029 7797764.73858515, 610836.524350125 7797779.1556506, 610826.142832156 7797796.14219303, 610793.901580959 7797870.44706849, 610787.824393713 7797891.00288442, 610784.352893264 7797916.71765025, 610785.680474196 7797953.14023654, 610794.973540718 7798061.47818466, 610794.214923042 7798094.30150357, 610788.896353472 7798111.01810096, 610767.844712984 7798142.4916946, 610720.497075036 7798201.49968369, 610696.476930602 7798225.76474461));623.945
391;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;280.668;AVE;DOM PEDRO II;RUA PECANHA;RUA ACARAPE;MULTILINESTRING ((610395.643793152 7797809.84940297, 610376.562909452 7797810.8691954, 610325.265512086 7797813.93857063, 610122.491955004 7797823.46663122, 610115.342807999 7797824.03651523));280.668
160;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;92.686;AVE;DOM PEDRO II;RUA TEOFILO OTONI;RUA TREMEDAL;MULTILINESTRING ((609468.596502334 7797740.42353441, 609458.693243334 7797752.35110658, 609449.60632292 7797765.19849154, 609443.619839961 7797775.61637101, 609436.091384119 7797789.7934853, 609424.126664046 7797813.72861337, 609421.61992738 7797819.86736384));92.686
1097;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;132.515;AVE;CRISTIANO MACHADO;RUA TAMBORIL;RUA VARGINHA;MULTILINESTRING ((611362.254644903 7798681.71193788, 611487.822361842 7798724.05331941));132.515
1098;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;136.465;AVE;CRISTIANO MACHADO;VDT PEDRO NAVA;;MULTILINESTRING ((611993.226650431 7798899.58758992, 612025.179297078 7798911.7151214, 612057.412302431 7798923.90264066, 612093.578575513 7798946.09812284, 612114.366348983 7798960.69515166));136.465
1099;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;245.67;AVE;CRISTIANO MACHADO;RUA EVERARDO VIEIRA;RUA TABELIAO FERREIRA DE CARVALHO;MULTILINESTRING ((612089.958649867 7800442.68349722, 612083.271270143 7800495.16281521, 612081.218054913 7800583.38485787, 612083.287761831 7800687.88358746));245.67
1100;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;98.496;AVE;CRISTIANO MACHADO;RUA WALDIR LEITE PENA;RUA JORNALISTA TULIO BERTI;MULTILINESTRING ((612174.470308056 7800150.32300635, 612146.533387581 7800244.77378117));98.496
1101;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;98.466;AVE;CRISTIANO MACHADO;RUA DOUTOR JARBAS VIDAL GOMES;RUA WALDIR LEITE PENA;MULTILINESTRING ((612200.469455121 7800055.35233736, 612174.470308056 7800150.32300635));98.466
1436;ROTA LESTE 3;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2025;LATERAL;NÃO;;31.03;AVE;DOS ANDRADAS;RUA RAIMUNDO VENANCIO DA SILVA;RUA ITAJOBI;MULTILINESTRING ((614256.12545473 7797703.38107429, 614257.617952547 7797734.37476562));31.03
1434;ROTA LESTE 3;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2025;LATERAL;NÃO;;91.963;AVE;DOS ANDRADAS;RUA JOAO ALFREDO;;MULTILINESTRING ((614142.250345002 7798047.98093199, 614097.805244247 7798128.49454368));91.963
1435;ROTA LESTE 3;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2025;LATERAL;NÃO;;60.003;AVE;DOS ANDRADAS;RUA PIRITE;RUA JOAO ALFREDO;MULTILINESTRING ((614171.646779917 7797995.67157941, 614142.250345002 7798047.98093199));60.003
1092;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;69.609;AVE;CRISTIANO MACHADO;;PCA MANOEL BANDEIRA;MULTILINESTRING ((612268.002919905 7799634.91791557, 612275.844717831 7799704.08383704));69.609
1093;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;56.758;AVE;CRISTIANO MACHADO;AVE JOSE CANDIDO DA SILVEIRA;RUA BIAGGIO POLIZZI;MULTILINESTRING ((612264.366502571 7799820.03023649, 612247.808847225 7799874.31918613));56.758
1433;ROTA LESTE 3;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2025;LATERAL;NÃO;;27.838;AVE;DOS ANDRADAS;RUA LEOPOLDO GOMES;RUA JORDAO;MULTILINESTRING ((614233.836937598 7797853.88044058, 614222.589605978 7797879.34525729));27.838
1415;ROTA LESTE 3;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;64.85;AVE;DOS ANDRADAS;RUA SILVIANOPOLIS;RUA FELIPE CAMARAO;MULTILINESTRING ((614000.059005963 7798398.25963378, 614029.282278147 7798403.04865898, 614030.519154792 7798438.27148948));64.85
1846;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;110.177;RUA;PADRE EUSTAQUIO;RUA FRANCISCO BICALHO;RUA COSTA SENNA;MULTILINESTRING ((607009.240457683 7797603.79134549, 606899.174928021 7797608.74033814));110.177
1848;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;109.032;RUA;PADRE EUSTAQUIO;RUA COSTA SENNA;RUA HENRIQUE GORCEIX;MULTILINESTRING ((606899.174928021 7797608.74033814, 606790.173112272 7797611.2598253));109.032
1869;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;129.838;RUA;OLINTO MAGALHAES;RUA CURUPAITI;RUA ITAMARATI;MULTILINESTRING ((606188.358412175 7797729.0458503, 606059.855174667 7797747.62206916));129.838
1871;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;129.1;RUA;OLINTO MAGALHAES;RUA LORENA;RUA CURUPAITI;MULTILINESTRING ((606315.946360967 7797709.35985733, 606188.358412175 7797729.0458503));129.1
1873;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;130.205;RUA;OLINTO MAGALHAES;RUA MOEMA;RUA LORENA;MULTILINESTRING ((606444.853644846 7797691.07357945, 606315.946360967 7797709.35985733));130.205
1875;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;107.03;RUA;OLINTO MAGALHAES;RUA CORONEL JULIO MURTA;RUA MOEMA;MULTILINESTRING ((606551.728032766 7797696.99237469, 606444.853644846 7797691.07357945));107.03
1850;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;109.006;RUA;PADRE EUSTAQUIO;RUA CESARIO ALVIM;RUA CASTIGLIANO;MULTILINESTRING ((607342.595205037 7797591.94375703, 607233.642864354 7797595.33306715));109.006
1852;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;112.519;RUA;PADRE EUSTAQUIO;RUA HENRIQUE GORCEIX;RUA PARA DE MINAS;MULTILINESTRING ((606790.173112272 7797611.2598253, 606677.749271141 7797615.86888714));112.519
1863;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;127.89;RUA;OLINTO MAGALHAES;RUA VILA RICA;RUA CORONEL JULIO MURTA;MULTILINESTRING ((606679.241768959 7797687.18437108, 606551.728032766 7797696.99237469));127.89
192;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;108.804;AVE;DOM PEDRO II;RUA FRANCISCO BICALHO;RUA COSTA SENNA;MULTILINESTRING ((607019.242666815 7797870.95696471, 606910.488226395 7797874.48624633));108.804
1849;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;110.607;RUA;RIO POMBA;RUA COSTA SENNA;RUA HENRIQUE GORCEIX;MULTILINESTRING ((606905.441769686 7797749.81162349, 606794.88973521 7797753.28091732));110.607
1853;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;112.01;RUA;RIO POMBA;RUA HENRIQUE GORCEIX;RUA VILA RICA;MULTILINESTRING ((606794.88973521 7797753.28091732, 606682.935907203 7797756.80020098));112.01
195;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;110.66;AVE;DOM PEDRO II;RUA COSTA SENNA;RUA HENRIQUE GORCEIX;MULTILINESTRING ((606910.488226395 7797874.48624633, 606799.86197932 7797876.82577013));110.66
1132;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;74.763;AVE;CRISTIANO MACHADO;RUA BIAGGIO POLIZZI;PCA MANOEL BANDEIRA;MULTILINESTRING ((612247.808847225 7799874.31918613, 612229.222714182 7799946.73444622));74.763
1135;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;11.695;AVE;CRISTIANO MACHADO;RUA MANOEL SABINO NOGUEIRA;RUA MODELO;MULTILINESTRING ((612203.182337895 7802614.52142591, 612200.791043049 7802625.96909577));11.695
1136;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;75.351;AVE;CRISTIANO MACHADO;RUA ALBERTO CINTRA;RUA JACUI;MULTILINESTRING ((612101.931615785 7801611.10566828, 612120.42704454 7801684.16079812));75.351
1137;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;60.404;AVE;CRISTIANO MACHADO;RUA JACUI;RUA ALVARES DA SILVA;MULTILINESTRING ((612120.42704454 7801684.16079812, 612137.743317562 7801742.02901921));60.404
1133;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;86.653;AVE;CRISTIANO MACHADO;RUA PADRE JOSE ALVES;RUA MARIA PIETRA MACHADO;MULTILINESTRING ((612238.293142907 7802836.61621916, 612271.268274247 7802916.74990818));86.653
1138;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;35.268;AVE;CRISTIANO MACHADO;;;MULTILINESTRING ((612039.485836931 7801033.60321723, 612025.039117725 7801065.77666842));35.268
1140;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;55.13;AVE;CRISTIANO MACHADO;RUA ANGATURAMA;RUA MANOEL SABINO NOGUEIRA;MULTILINESTRING ((612218.494870752 7802561.61219543, 612208.85547877 7802590.75626324, 612203.182337895 7802614.52142591));55.13
1134;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;77.159;AVE;CRISTIANO MACHADO;RUA DO PATRIARCA;RUA MARIA DE CARVALHO;MULTILINESTRING ((612043.006812446 7801430.372456, 612066.119914007 7801503.98747188));77.159
1139;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;114.489;AVE;CRISTIANO MACHADO;ACS TRES MIL CENTO E QUARENTA E UM;ACS TRES MIL CENTO E QUARENTA E UM;MULTILINESTRING ((612274.113090529 7802395.81594278, 612267.788527954 7802430.37890759, 612252.731616269 7802477.00941608));114.489
1125;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;14.138;AVE;CRISTIANO MACHADO;RUA DOUTOR JULIO OTAVIANO FERREIRA;RUA CARDEAL STEPINAC;MULTILINESTRING ((612089.554603496 7800863.81777656, 612087.954909703 7800877.86491731));14.138
1126;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;36.804;AVE;CRISTIANO MACHADO;RUA CARDEAL STEPINAC;RUA ALBERTO CINTRA;MULTILINESTRING ((612087.954909703 7800877.86491731, 612084.846226403 7800914.53745272));36.804
1127;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;13.509;AVE;CRISTIANO MACHADO;RUA DOM LEME;RUA DOUTOR JULIO OTAVIANO FERREIRA;MULTILINESTRING ((612089.736012071 7800850.31052592, 612089.554603496 7800863.81777656));13.509
1128;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;78.298;AVE;CRISTIANO MACHADO;RUA PROFESSOR PIMENTA DA VEIGA;RUA DOM LEME;MULTILINESTRING ((612086.849966567 7800772.06645228, 612089.736012071 7800850.31052592));78.298
1129;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;71.808;AVE;CRISTIANO MACHADO;;;MULTILINESTRING ((611997.432031022 7801198.1097324, 612009.907993442 7801268.82533845));71.808
21;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;35.521;AVE;CRISTIANO MACHADO;;;MULTILINESTRING ((612323.316043443 7803086.5753407, 612312.382053906 7803120.37846018));35.521
1147;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;35.521;AVE;CRISTIANO MACHADO;;;MULTILINESTRING ((612323.316043443 7803086.5753407, 612312.382053906 7803120.36846221));35.521
1121;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;65.213;AVE;CRISTIANO MACHADO;RUA JORNALISTA TULIO BERTI;RUA CONCEICAO MACEDO NOVAIS;MULTILINESTRING ((612146.533387581 7800244.77378117, 612127.064949199 7800307.01111294));65.213
1120;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;59.132;AVE;CRISTIANO MACHADO;RUA ITAUNA;RUA JACUI;MULTILINESTRING ((611680.676168236 7798790.98969471, 611736.508779964 7798810.46573042));59.132
1130;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;71.034;AVE;CRISTIANO MACHADO;RUA ZAIRA DE PAULA;RUA EVERARDO VIEIRA;MULTILINESTRING ((612106.359634172 7800373.74752894, 612091.484131062 7800427.46659458, 612089.958649867 7800442.68349722));71.034
1131;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;69.874;AVE;CRISTIANO MACHADO;RUA CONCEICAO MACEDO NOVAIS;RUA ZAIRA DE PAULA;MULTILINESTRING ((612127.064949199 7800307.01111294, 612106.359634172 7800373.74752894));69.874
1122;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;70.756;AVE;CRISTIANO MACHADO;RUA MACHADO;RUA ITAUNA;MULTILINESTRING ((611613.744650086 7798768.04436516, 611680.676168236 7798790.98969471));70.756
1123;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;83.396;AVE;CRISTIANO MACHADO;;VDT PEDRO NAVA;MULTILINESTRING ((611914.165495321 7798873.05299096, 611920.407599453 7798875.1525636, 611993.226650431 7798899.58758992));83.396
1124;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;48.607;AVE;CRISTIANO MACHADO;AVE SILVIANO BRANDAO;;MULTILINESTRING ((611868.112454928 7798857.50615548, 611914.165495321 7798873.05299096));48.607
486;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;130.979;AVE;PRESIDENTE CARLOS LUZ;PCA EDUCADOR NEWTON PAIVA FERREIRA;AVE AMERICO VESPUCIO;MULTILINESTRING ((608157.960780711 7799146.39735251, 608188.849713443 7799273.6814442));130.979
487;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;86.353;AVE;PRESIDENTE CARLOS LUZ;RUA DO TREVO;RUA DO TREVO;MULTILINESTRING ((608181.288274224 7799018.22344194, 608166.668392287 7799050.5768565, 608158.851331895 7799075.63175664, 608153.969792072 7799099.73685012));86.353
1872;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;47.525;RUA;PADRE EUSTAQUIO;RUA CATAGUAZES;RUA SANTA QUITERIA;MULTILINESTRING ((608279.141708484 7797867.9075854, 608238.720579745 7797842.91267304));47.525
1874;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;71.47;RUA;PADRE EUSTAQUIO;RUA SANTA QUITERIA;RUA LIMA DUARTE;MULTILINESTRING ((608238.720579745 7797842.91267304, 608177.849757153 7797805.46029636));71.47
1876;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;45.51;RUA;PADRE EUSTAQUIO;RUA LIMA DUARTE;RUA PERDOES;MULTILINESTRING ((608177.849757153 7797805.46029636, 608138.747963501 7797782.17503601));45.51
1878;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;84.121;RUA;PADRE EUSTAQUIO;RUA BOM SUCESSO;RUA CATAGUAZES;MULTILINESTRING ((608352.232872324 7797908.519319, 608336.829635179 7797904.08022256, 608279.141708484 7797867.9075854));84.121
1879;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;90.885;RUA;PADRE EUSTAQUIO;RUA PRADOS;RUA ESPINOSA;MULTILINESTRING ((608921.20437459 7797808.11975504, 608846.299125006 7797859.58927856));90.885
1880;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;93.346;RUA;PADRE EUSTAQUIO;RUA ESPINOSA;RUA SABINOPOLIS;MULTILINESTRING ((608846.299125006 7797859.58927856, 608770.536307614 7797914.11817936));93.346
1881;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;25.764;RUA;PADRE EUSTAQUIO;RUA BRASILIA;RUA CORUMBA;MULTILINESTRING ((609044.215879797 7797721.99728502, 609022.925109825 7797736.50433215));25.764
1554;ROTA  AMAZONAS;IMPLANTADA;FAIXA PREFERENCIAL;PISTA EXCLUSIVA;1985;2025;LATERAL;NÃO;;82.897;AVE;AMAZONAS;RUA TURFA;RUA PEDRA BONITA;MULTILINESTRING ((608411.108200597 7795829.07258435, 608377.160059631 7795820.89424903, 608329.911371815 7795812.56594423));82.897
1555;ROTA  AMAZONAS;IMPLANTADA;FAIXA PREFERENCIAL;PISTA EXCLUSIVA;1985;2025;LATERAL;NÃO;;83;AVE;AMAZONAS;RUA CURA D'ARS;RUA TURFA;MULTILINESTRING ((608492.313275224 7795846.23909016, 608411.108200597 7795829.07258435));83
1558;ROTA  AMAZONAS;IMPLANTADA;FAIXA PREFERENCIAL;PISTA EXCLUSIVA;1985;2025;LATERAL;NÃO;;56.596;AVE;AMAZONAS;RUA SETE DE SETEMBRO;RUA VEREADOR ANTONIO ZANDONA;MULTILINESTRING ((604272.659127803 7794535.47589221, 604241.82791598 7794488.01555262));56.596
1559;ROTA  AMAZONAS;IMPLANTADA;FAIXA PREFERENCIAL;PISTA EXCLUSIVA;1985;2025;LATERAL;NÃO;;57.874;AVE;AMAZONAS;RUA VEREADOR ANTONIO ZANDONA;RUA BARROQUINHA;MULTILINESTRING ((604241.82791598 7794488.01555262, 604209.916498555 7794439.73537991));57.874
1563;ROTA  AMAZONAS;IMPLANTADA;FAIXA PREFERENCIAL;PISTA EXCLUSIVA;1985;2025;LATERAL;NÃO;;64.242;AVE;AMAZONAS;RUA GONERI;;MULTILINESTRING ((606312.161518435 7795820.24438131, 606249.418889187 7795806.44718968));64.242
1564;ROTA  AMAZONAS;IMPLANTADA;FAIXA PREFERENCIAL;PISTA EXCLUSIVA;1985;2025;LATERAL;NÃO;;59.861;AVE;AMAZONAS;RUA SELENIO;RUA SANTA CRUZ;MULTILINESTRING ((608100.841817273 7795809.2666158, 608041.092429504 7795812.915873));59.861
1565;ROTA  AMAZONAS;IMPLANTADA;FAIXA PREFERENCIAL;PISTA EXCLUSIVA;1985;2025;LATERAL;NÃO;;14.195;AVE;AMAZONAS;RUA JAPAO;RUA SELENIO;MULTILINESTRING ((608115.032915306 7795809.61654457, 608100.841817273 7795809.2666158));14.195
